QuestionID,QuestionType,Question,Answer,Selection,True_ANS
Q2-001,Attribute Query,"What is the largest cavity diameter (LCD) of ""K2Cd3H60C68(N2O13)2""?",The largest cavity diameter (LCD) of K2Cd3H60C68(N2O13)2 is 6.8368 Å.,A. The largest cavity diameter (LCD) of K2Cd3H60C68(N2O13)2 is 7.1103 Å.; B. The largest cavity diameter (LCD) of K2Cd3H60C68(N2O13)2 is 6.3582 Å.; C. The largest cavity diameter (LCD) of K2Cd3H60C68(N2O13)2 is 6.9738 Å.; D. The largest cavity diameter (LCD) of K2Cd3H60C68(N2O13)2 is 6.8368 Å.,D
Q2-002,Attribute Query,"What is the pore limiting diameter (PLD) of ""V5B2(PO5)4""?",The pore limiting diameter (PLD) of V5B2(PO5)4 is 3.8788 Å.,A. The pore limiting diameter (PLD) of V5B2(PO5)4 is 4.0158 Å.; B. The pore limiting diameter (PLD) of V5B2(PO5)4 is 4.0339 Å.; C. The pore limiting diameter (PLD) of V5B2(PO5)4 is 3.8788 Å.; D. The pore limiting diameter (PLD) of V5B2(PO5)4 is 3.6073 Å.,C
Q2-003,Attribute Query,"What is the accessible surface area ASA_m2_g of ""Ag2H12C17N3O4""?",The accessible surface area ASA_m2_g of Ag2H12C17N3O4 is 0 m²/g.,A. The accessible surface area ASA_m2_g of Ag2H12C17N3O4 is 0 m²/g.; B. The accessible surface area ASA_m2_g of Ag2H12C17N3O4 is 0.137 m²/g.; C. The accessible surface area ASA_m2_g of Ag2H12C17N3O4 is 0 m²/g.; D. The accessible surface area ASA_m2_g of Ag2H12C17N3O4 is 0 m²/g.,A
Q2-004,Attribute Query,"What is the accessible surface area ASA_m2_cm3 of ""Nd2H24C26O17""?",The accessible surface area ASA_m2_cm3 of Nd2H24C26O17 is 901.53 m²/cm³.,A. The accessible surface area ASA_m2_cm3 of Nd2H24C26O17 is 838.42 m²/cm³.; B. The accessible surface area ASA_m2_cm3 of Nd2H24C26O17 is 937.59 m²/cm³.; C. The accessible surface area ASA_m2_cm3 of Nd2H24C26O17 is 901.53 m²/cm³.; D. The accessible surface area ASA_m2_cm3 of Nd2H24C26O17 is 901.67 m²/cm³.,C
Q2-005,Attribute Query,"What is the accessible volume AV_cm3_g of ""Sm2H36(C17O4)3""?",The accessible volume AV_cm3_g of Sm2H36(C17O4)3 is 0.49324 cm³/g.,A. The accessible volume AV_cm3_g of Sm2H36(C17O4)3 is 0.45871 cm³/g.; B. The accessible volume AV_cm3_g of Sm2H36(C17O4)3 is 0.51297 cm³/g.; C. The accessible volume AV_cm3_g of Sm2H36(C17O4)3 is 0.63024 cm³/g.; D. The accessible volume AV_cm3_g of Sm2H36(C17O4)3 is 0.49324 cm³/g.,D
Q2-006,Attribute Query,"What is the largest cavity diameter (LCD) of ""NdH3C9(NO2)3""?",The largest cavity diameter (LCD) of NdH3C9(NO2)3 is 5.8448 Å.,A. The largest cavity diameter (LCD) of NdH3C9(NO2)3 is 5.4357 Å.; B. The largest cavity diameter (LCD) of NdH3C9(NO2)3 is 5.9818 Å.; C. The largest cavity diameter (LCD) of NdH3C9(NO2)3 is 6.0786 Å.; D. The largest cavity diameter (LCD) of NdH3C9(NO2)3 is 5.8448 Å.,D
Q2-007,Attribute Query,"What is the pore limiting diameter (PLD) of ""Cu6H21C45N12O13""?",The pore limiting diameter (PLD) of Cu6H21C45N12O13 is 10.923 Å.,A. The pore limiting diameter (PLD) of Cu6H21C45N12O13 is 11.36 Å.; B. The pore limiting diameter (PLD) of Cu6H21C45N12O13 is 10.158 Å.; C. The pore limiting diameter (PLD) of Cu6H21C45N12O13 is 10.923 Å.; D. The pore limiting diameter (PLD) of Cu6H21C45N12O13 is 11.06 Å.,C
Q2-008,Attribute Query,"What is the accessible surface area ASA_m2_g of ""ZnCu2H22C54(NO)8""?",The accessible surface area ASA_m2_g of ZnCu2H22C54(NO)8 is 1406 m²/g.,A. The accessible surface area ASA_m2_g of ZnCu2H22C54(NO)8 is 1307.6 m²/g.; B. The accessible surface area ASA_m2_g of ZnCu2H22C54(NO)8 is 1406.1 m²/g.; C. The accessible surface area ASA_m2_g of ZnCu2H22C54(NO)8 is 1406 m²/g.; D. The accessible surface area ASA_m2_g of ZnCu2H22C54(NO)8 is 1462.2 m²/g.,C
Q2-009,Attribute Query,"What is the accessible surface area ASA_m2_cm3 of ""ZnH11C20N2O3""?",The accessible surface area ASA_m2_cm3 of ZnH11C20N2O3 is 1917.3 m²/cm³.,A. The accessible surface area ASA_m2_cm3 of ZnH11C20N2O3 is 1917.3 m²/cm³.; B. The accessible surface area ASA_m2_cm3 of ZnH11C20N2O3 is 1994 m²/cm³.; C. The accessible surface area ASA_m2_cm3 of ZnH11C20N2O3 is 1783.1 m²/cm³.; D. The accessible surface area ASA_m2_cm3 of ZnH11C20N2O3 is 1917.4 m²/cm³.,A
Q2-010,Attribute Query,"What is the accessible volume AV_cm3_g of ""NdH27C21(NO)6""?",The accessible volume AV_cm3_g of NdH27C21(NO)6 is 0.50665 cm³/g.,A. The accessible volume AV_cm3_g of NdH27C21(NO)6 is 0.52692 cm³/g.; B. The accessible volume AV_cm3_g of NdH27C21(NO)6 is 0.64365 cm³/g.; C. The accessible volume AV_cm3_g of NdH27C21(NO)6 is 0.50665 cm³/g.; D. The accessible volume AV_cm3_g of NdH27C21(NO)6 is 0.47119 cm³/g.,C
Q2-011,Attribute Query,"What is the largest cavity diameter (LCD) of ""Cu4H8C24N32ClO4""?",The largest cavity diameter (LCD) of Cu4H8C24N32ClO4 is 15.415 Å.,A. The largest cavity diameter (LCD) of Cu4H8C24N32ClO4 is 16.032 Å.; B. The largest cavity diameter (LCD) of Cu4H8C24N32ClO4 is 14.336 Å.; C. The largest cavity diameter (LCD) of Cu4H8C24N32ClO4 is 15.552 Å.; D. The largest cavity diameter (LCD) of Cu4H8C24N32ClO4 is 15.415 Å.,D
